______________________________________________________ 
|     Chave|     Dados|                          Nome|
|.......477|.........0|.......................Karyssa|
|.......477|.........0|.......................Kalyssa|
|.......477|.........0|.......................Karissa|
|.......484|.........0|........................Ramone|
|.......484|.........0|......................Sukhmani|
|.......484|.........0|........................Ramone|
|.......486|.........0|........................Dhruvi|
|.......486|.........0|.........................Garth|
|.......490|.........0|.......................Mahmoud|
|.......495|.........0|..........................Yuki|
|.......495|.........0|..........................Yuki|
|.......498|.........0|..........................Zhen|
|.......498|.........0|.......................Sanjith|
|.......498|.........0|..........................Zane|
|.......498|.........0|..........................Zane|
|.......498|.........0|.......................Zaydenn|
|.......498|.........0|..........................Zyen|
|.......498|.........0|..........................Zyen|
|.......498|.........0|..........................Zhen|
|.......498|.........0|..........................Zane|
|.......499|.........0|...........................Anu|
|.......504|.........0|..........................Maze|
|.......504|.........0|........................Mayzee|
|.......504|.........0|..........................Maze|
|.......510|.........0|.......................Mahrukh|
|.......511|.........0|.........................Raeni|
|.......511|.........0|.........................Raeni|
|.......511|.........0|.........................Rayni|
|.......511|.........0|.........................Rayni|
|.......511|.........0|........................Nassir|
|.......519|.........0|......................Wiktoria|
|.......519|.........0|......................Wiktoria|
|.......526|.........0|........................Tacoma|
|.......526|.........0|........................Tacoma|
|.......526|.........0|........................Winnie|
|.......526|.........0|........................Winnie|
|.......529|.........0|........................Sigrid|
|.......529|.........0|........................Sigrid|
|.......529|.........0|........................Sigrid|
|.......531|.........0|........................Tzirel|
|.......532|.........0|.........................Mirra|
|.......532|.........0|.........................Mahra|
|.......532|.........0|.........................Meera|
|.......532|.........0|.........................Meira|
|.......532|.........0|.........................Miara|
|.......536|.........0|.........................Chavi|
|.......536|.........0|.........................Chevi|
|.......540|.........0|........................Rigsby|
|.......540|.........0|.......................Marquez|
|.......540|.........0|........................Rigsby|
|.......541|.........0|........................Raylon|
|.......541|.........0|........................Raylon|
|.......542|.........0|.......................Wrigley|
|.......542|.........0|.......................Winsley|
|.......542|.........0|.......................Woodley|
|.......542|.........0|........................Wesley|
|.......542|.........0|.......................Woodley|
|.......542|.........0|.......................Woodley|
|.......542|.........0|.......................Whitley|
|.......542|.........0|.......................Winsley|
|.......542|.........0|.......................Winsley|
|.......542|.........0|.......................Wensley|
|.......542|.........0|........................Wesley|
|.......542|.........0|........................Wesley|
|.......544|.........0|........................Alexya|
|.......550|.........0|........................Zahraa|
|.......550|.........0|........................Dezyre|
|.......550|.........0|..........................Zira|
|.......550|.........0|........................Dezyre|
|.......550|.........0|........................Zahraa|
|.......550|.........0|........................Dezyre|
|.......550|.........0|......................Victorie|
|.......553|.........0|.........................Xayla|
|.......553|.........0|.........................Xayla|
|.......553|.........0|.........................Xayla|
|.......555|.........0|.......................Bristyl|
|.......558|.........0|.........................Jaise|
|.......558|.........0|.........................Jesse|
|.......558|.........0|.........................Jesse|
|.......558|.........0|........................Moishy|
|.......558|.........0|........................Moishy|
|.......558|.........0|.......................Honesti|
|.......558|.........0|.........................Jhase|
|.......558|.........0|.........................Jesse|
|.......558|.........0|........................Moishy|
|.......558|.........0|.......................Honesti|
|.......558|.........0|.........................Jhase|
